"id_individu","rep_age","rep_genre","rep_niveau_etudes","rep_langue_domicile","region","departement","milieu","commune","arrondismt","source_eau","assainissement","electricite_acces","electricite_freq","manque_nourriture","manque_eau","manque_soins","manque_combustible","manque_revenus","prive_manque_nourriture","prive_manque_eau","prive_manque_soins","prive_manque_combustible","prive_manque_revenus","indice_privation","groupe_privation","round_afrobarometer","annee_enquete","pays","poids"
168135929,32,"Homme",NA,660,"Dakar",4,"Urbain",6,21,"Robinet dans la maison",1,"Oui",4,0,0,0,2,3,0,0,0,1,1,2,"Privation modérée (2 types)",9,2022,"SEN",1
168137234,44,"Homme","Enseignement informel/coranique",660,"Dakar",2,"Urbain",2,11,"Robinet dans la maison",1,"Oui",5,0,2,0,2,2,0,1,0,1,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
168137235,50,"Femme","Enseignement informel/coranique",660,"Dakar",2,"Urbain",2,11,"Robinet dans la maison",1,"Oui",5,1,2,2,2,2,0,1,1,1,1,4,"Privation sévère (3+ types)",9,2022,"SEN",1
168137236,42,"Femme","Primaire incomplet",660,"Dakar",2,"Urbain",2,4,"Robinet dans la maison",1,"Oui",5,0,2,2,0,2,0,1,1,0,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
168137237,26,"Homme",NA,660,"Dakar",2,"Urbain",2,4,"Robinet dans la maison",1,"Oui",5,0,3,2,2,2,0,1,1,1,1,4,"Privation sévère (3+ types)",9,2022,"SEN",1
168137349,38,"Femme","Primaire complet",665,"Dakar",2,"Urbain",2,11,"Robinet dans la maison",2,"Oui",4,2,3,3,2,3,1,1,1,1,1,5,"Privation sévère (3+ types)",9,2022,"SEN",1
168137368,54,"Homme","Enseignement informel/coranique",660,"Dakar",2,"Urbain",2,11,"Robinet dans la maison",1,"Oui",4,0,0,0,0,2,0,0,0,0,1,1,"Privation légère (1 type)",9,2022,"SEN",1
168137407,30,"Homme",NA,660,"Dakar",2,"Urbain",2,4,"Robinet dans la maison",1,"Oui",5,0,4,3,2,2,0,1,1,1,1,4,"Privation sévère (3+ types)",9,2022,"SEN",1
168137454,75,"Femme","Primaire complet",660,"Dakar",2,"Urbain",2,4,"Robinet dans la maison",1,"Oui",5,0,2,0,0,0,0,1,0,0,0,1,"Privation légère (1 type)",9,2022,"SEN",1
168138836,22,"Femme","Primaire incomplet",660,"Dakar",4,"Urbain",6,22,"Robinet dans la cour/concession",1,"Oui",4,3,3,3,3,4,1,1,1,1,1,5,"Privation sévère (3+ types)",9,2022,"SEN",1
168139822,40,"Homme","Aucun enseignement formel",660,"Dakar",2,"Urbain",2,4,"Robinet dans la maison",1,"Oui",2,0,0,0,0,0,0,0,0,0,0,0,"Aucune privation",9,2022,"SEN",1
168139823,60,"Femme","Secondaire incomplet",2,"Dakar",2,"Urbain",2,4,"Fontaine publique",3,"Oui",1,0,0,0,0,0,0,0,0,0,0,0,"Aucune privation",9,2022,"SEN",1
168140626,31,"Homme",NA,660,"Dakar",2,"Urbain",2,11,"Robinet dans la maison",1,"Oui",3,2,2,1,1,2,1,1,0,0,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
168140627,22,"Femme","Primaire incomplet",660,"Dakar",2,"Urbain",2,11,"Robinet dans la maison",1,"Oui",2,2,1,2,1,3,1,0,1,0,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
168140628,35,"Femme","Secondaire incomplet",660,"Dakar",2,"Urbain",2,4,"Robinet dans la maison",1,"Oui",4,0,4,3,2,3,0,1,1,1,1,4,"Privation sévère (3+ types)",9,2022,"SEN",1
168141577,18,"Femme","Secondaire incomplet",660,"Dakar",4,"Urbain",6,22,"Robinet dans la maison",1,"Oui",2,2,0,0,0,1,1,0,0,0,0,1,"Privation légère (1 type)",9,2022,"SEN",1
168141578,27,"Homme","Secondaire incomplet",660,"Dakar",4,"Urbain",6,22,"Robinet dans la maison",1,"Oui",5,1,2,1,0,2,0,1,0,0,1,2,"Privation modérée (2 types)",9,2022,"SEN",1
168157489,20,"Homme","Secondaire incomplet",660,"Dakar",2,"Urbain",2,NA,"Robinet dans la maison",1,"Oui",5,0,0,0,0,0,0,0,0,0,0,0,"Aucune privation",9,2022,"SEN",1
168157537,42,"Femme","Secondaire incomplet",660,"Dakar",2,"Urbain",2,NA,"Robinet dans la maison",1,"Oui",4,2,2,3,2,3,1,1,1,1,1,5,"Privation sévère (3+ types)",9,2022,"SEN",1
168157538,45,"Homme","Primaire complet",660,"Dakar",2,"Urbain",2,NA,"Robinet dans la maison",1,"Oui",4,0,0,2,0,1,0,0,1,0,0,1,"Privation légère (1 type)",9,2022,"SEN",1
168157724,49,"Homme","Secondaire incomplet",665,"Dakar",2,"Urbain",2,NA,"Robinet dans la maison",1,"Oui",1,1,2,2,2,4,0,1,1,1,1,4,"Privation sévère (3+ types)",9,2022,"SEN",1
168157725,25,"Femme",NA,2,"Dakar",2,"Urbain",2,NA,"Robinet dans la maison",1,"Oui",1,0,0,0,0,2,0,0,0,0,1,1,"Privation légère (1 type)",9,2022,"SEN",1
168158301,40,"Femme","Secondaire complet",660,"Dakar",2,"Urbain",2,NA,"Robinet dans la maison",1,"Oui",5,2,1,1,3,3,1,0,0,1,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
168158310,55,"Homme","Post-secondaire incomplet",660,"Dakar",2,"Urbain",2,NA,"Robinet dans la maison",2,"Oui",4,2,1,1,2,1,1,0,0,1,0,2,"Privation modérée (2 types)",9,2022,"SEN",1
168158316,52,"Femme","Primaire incomplet",660,"Dakar",2,"Urbain",2,NA,"Robinet dans la cour/concession",2,"Oui",4,3,2,2,1,3,1,1,1,0,1,4,"Privation sévère (3+ types)",9,2022,"SEN",1
168160838,72,"Femme","Aucun enseignement formel",660,"Dakar",2,"Urbain",2,10,"Robinet dans la maison",1,"Oui",1,2,0,2,2,4,1,0,1,1,1,4,"Privation sévère (3+ types)",9,2022,"SEN",1
